"Event Time","Event ID","Site Code","Exit Door ID","Event Count","Video URL","Status"
"2023-04-27T16:19:17Z","Event ID 4","SiteCode3","Exit Door ID 7376","7141","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Employee"
"2022-12-11T10:49:44Z","Event ID 7","SiteCode12","Exit Door ID 6192","2900","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Omni Sale"
"2023-04-26T07:59:15Z","Event ID 6","SiteCode13","Exit Door ID 8794","8585","","Not a loss Event"
"2020-11-03T09:38:00Z","Event ID 2","SiteCode15","Exit Door ID 6130","2466","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Organized Crime"
"2021-03-16T23:36:31Z","Event ID 7","SiteCode5","Exit Door ID 5493","4386","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","External Theft"
"2020-10-29T01:15:42Z","Event ID 4","SiteCode4","Exit Door ID 5983","4634","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Mixed"
"2021-09-25T12:25:57Z","Event ID 2","SiteCode13","Exit Door ID 5676","5548","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Omni Sale"
"2021-07-08T00:40:07Z","Event ID 8","SiteCode4","Exit Door ID 6349","3784","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Organized Crime"
"2021-06-23T03:13:52Z","Event ID 9","SiteCode14","Exit Door ID 1632","6262","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Organized Crime"
"2021-07-25T19:35:02Z","Event ID 4","SiteCode3","Exit Door ID 8712","8918","","Not a loss Event"
"2022-11-06T23:09:29Z","Event ID 7","SiteCode2","Exit Door ID 3899","9693","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Employee"
"2022-12-23T14:26:17Z","Event ID 2","SiteCode6","Exit Door ID 7053","7354","","Organized Crime"
"2021-03-06T03:43:19Z","Event ID 6","SiteCode10","Exit Door ID 4848","3231","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Omni Sale"
"2023-02-25T18:43:48Z","Event ID 6","SiteCode7","Exit Door ID 1138","8222","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2021-12-01T06:42:34Z","Event ID 6","SiteCode2","Exit Door ID 7631","651","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Mixed"
"2023-01-20T16:48:07Z","Event ID 1","SiteCode6","Exit Door ID 3177","3854","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Organized Crime"
"2022-12-13T17:41:12Z","Event ID 3","SiteCode15","Exit Door ID 8894","5647","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2020-12-19T03:06:26Z","Event ID 8","SiteCode15","Exit Door ID 8390","2308","","Not a loss Event"
"2020-08-13T11:42:57Z","Event ID 4","SiteCode6","Exit Door ID 3921","3127","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Employee"
"2021-03-30T10:47:15Z","Event ID 9","SiteCode3","Exit Door ID 5270","6094","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Others"
"2023-04-27T16:19:17Z","Event ID 4","SiteCode3","Exit Door ID 7376","7141","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Employee"
"2022-12-11T10:49:44Z","Event ID 7","SiteCode12","Exit Door ID 6192","2900","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Omni Sale"
"2023-04-26T07:59:15Z","Event ID 6","SiteCode13","Exit Door ID 8794","8585","","Not a loss Event"
"2020-11-03T09:38:00Z","Event ID 2","SiteCode15","Exit Door ID 6130","2466","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Organized Crime"
"2021-03-16T23:36:31Z","Event ID 7","SiteCode5","Exit Door ID 5493","4386","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","External Theft"
"2020-10-29T01:15:42Z","Event ID 4","SiteCode4","Exit Door ID 5983","4634","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Mixed"
"2021-09-25T12:25:57Z","Event ID 2","SiteCode13","Exit Door ID 5676","5548","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Omni Sale"
"2021-07-08T00:40:07Z","Event ID 8","SiteCode4","Exit Door ID 6349","3784","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Organized Crime"
"2021-06-23T03:13:52Z","Event ID 9","SiteCode14","Exit Door ID 1632","6262","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Organized Crime"
"2021-07-25T19:35:02Z","Event ID 4","SiteCode3","Exit Door ID 8712","8918","","Not a loss Event"
"2022-11-06T23:09:29Z","Event ID 7","SiteCode2","Exit Door ID 3899","9693","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Employee"
"2022-12-23T14:26:17Z","Event ID 2","SiteCode6","Exit Door ID 7053","7354","","Organized Crime"
"2021-03-06T03:43:19Z","Event ID 6","SiteCode10","Exit Door ID 4848","3231","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Omni Sale"
"2023-02-25T18:43:48Z","Event ID 6","SiteCode7","Exit Door ID 1138","8222","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2021-12-01T06:42:34Z","Event ID 6","SiteCode2","Exit Door ID 7631","651","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Mixed"
"2023-01-20T16:48:07Z","Event ID 1","SiteCode6","Exit Door ID 3177","3854","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Organized Crime"
"2022-12-13T17:41:12Z","Event ID 3","SiteCode15","Exit Door ID 8894","5647","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2020-12-19T03:06:26Z","Event ID 8","SiteCode15","Exit Door ID 8390","2308","","Not a loss Event"
"2020-08-13T11:42:57Z","Event ID 4","SiteCode6","Exit Door ID 3921","3127","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Employee"
"2021-03-30T10:47:15Z","Event ID 9","SiteCode3","Exit Door ID 5270","6094","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Others"
"2023-04-27T16:19:17Z","Event ID 4","SiteCode3","Exit Door ID 7376","7141","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Employee"
"2022-12-11T10:49:44Z","Event ID 7","SiteCode12","Exit Door ID 6192","2900","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Omni Sale"
"2023-04-26T07:59:15Z","Event ID 6","SiteCode13","Exit Door ID 8794","8585","","Not a loss Event"
"2020-11-03T09:38:00Z","Event ID 2","SiteCode15","Exit Door ID 6130","2466","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Organized Crime"
"2021-03-16T23:36:31Z","Event ID 7","SiteCode5","Exit Door ID 5493","4386","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","External Theft"
"2020-10-29T01:15:42Z","Event ID 4","SiteCode4","Exit Door ID 5983","4634","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Mixed"
"2021-09-25T12:25:57Z","Event ID 2","SiteCode13","Exit Door ID 5676","5548","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Omni Sale"
"2021-07-08T00:40:07Z","Event ID 8","SiteCode4","Exit Door ID 6349","3784","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Organized Crime"
"2021-06-23T03:13:52Z","Event ID 9","SiteCode14","Exit Door ID 1632","6262","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Organized Crime"
"2021-07-25T19:35:02Z","Event ID 4","SiteCode3","Exit Door ID 8712","8918","","Not a loss Event"
"2022-11-06T23:09:29Z","Event ID 7","SiteCode2","Exit Door ID 3899","9693","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Employee"
"2022-12-23T14:26:17Z","Event ID 2","SiteCode6","Exit Door ID 7053","7354","","Organized Crime"
"2021-03-06T03:43:19Z","Event ID 6","SiteCode10","Exit Door ID 4848","3231","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Omni Sale"
"2023-02-25T18:43:48Z","Event ID 6","SiteCode7","Exit Door ID 1138","8222","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2021-12-01T06:42:34Z","Event ID 6","SiteCode2","Exit Door ID 7631","651","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Mixed"
"2023-01-20T16:48:07Z","Event ID 1","SiteCode6","Exit Door ID 3177","3854","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Organized Crime"
"2022-12-13T17:41:12Z","Event ID 3","SiteCode15","Exit Door ID 8894","5647","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2020-12-19T03:06:26Z","Event ID 8","SiteCode15","Exit Door ID 8390","2308","","Not a loss Event"
"2020-08-13T11:42:57Z","Event ID 4","SiteCode6","Exit Door ID 3921","3127","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Employee"
"2021-03-30T10:47:15Z","Event ID 9","SiteCode3","Exit Door ID 5270","6094","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Others"
"2023-04-27T16:19:17Z","Event ID 4","SiteCode3","Exit Door ID 7376","7141","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Employee"
"2022-12-11T10:49:44Z","Event ID 7","SiteCode12","Exit Door ID 6192","2900","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Omni Sale"
"2023-04-26T07:59:15Z","Event ID 6","SiteCode13","Exit Door ID 8794","8585","","Not a loss Event"
"2020-11-03T09:38:00Z","Event ID 2","SiteCode15","Exit Door ID 6130","2466","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Organized Crime"
"2021-03-16T23:36:31Z","Event ID 7","SiteCode5","Exit Door ID 5493","4386","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","External Theft"
"2020-10-29T01:15:42Z","Event ID 4","SiteCode4","Exit Door ID 5983","4634","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Mixed"
"2021-09-25T12:25:57Z","Event ID 2","SiteCode13","Exit Door ID 5676","5548","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Omni Sale"
"2021-07-08T00:40:07Z","Event ID 8","SiteCode4","Exit Door ID 6349","3784","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Organized Crime"
"2021-06-23T03:13:52Z","Event ID 9","SiteCode14","Exit Door ID 1632","6262","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Organized Crime"
"2021-07-25T19:35:02Z","Event ID 4","SiteCode3","Exit Door ID 8712","8918","","Not a loss Event"
"2022-11-06T23:09:29Z","Event ID 7","SiteCode2","Exit Door ID 3899","9693","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Employee"
"2022-12-23T14:26:17Z","Event ID 2","SiteCode6","Exit Door ID 7053","7354","","Organized Crime"
"2021-03-06T03:43:19Z","Event ID 6","SiteCode10","Exit Door ID 4848","3231","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Omni Sale"
"2023-02-25T18:43:48Z","Event ID 6","SiteCode7","Exit Door ID 1138","8222","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2021-12-01T06:42:34Z","Event ID 6","SiteCode2","Exit Door ID 7631","651","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Mixed"
"2023-01-20T16:48:07Z","Event ID 1","SiteCode6","Exit Door ID 3177","3854","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Organized Crime"
"2022-12-13T17:41:12Z","Event ID 3","SiteCode15","Exit Door ID 8894","5647","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2020-12-19T03:06:26Z","Event ID 8","SiteCode15","Exit Door ID 8390","2308","","Not a loss Event"
"2020-08-13T11:42:57Z","Event ID 4","SiteCode6","Exit Door ID 3921","3127","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Employee"
"2021-03-30T10:47:15Z","Event ID 9","SiteCode3","Exit Door ID 5270","6094","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Others"
"2023-04-27T16:19:17Z","Event ID 4","SiteCode3","Exit Door ID 7376","7141","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Employee"
"2022-12-11T10:49:44Z","Event ID 7","SiteCode12","Exit Door ID 6192","2900","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Omni Sale"
"2023-04-26T07:59:15Z","Event ID 6","SiteCode13","Exit Door ID 8794","8585","","Not a loss Event"
"2020-11-03T09:38:00Z","Event ID 2","SiteCode15","Exit Door ID 6130","2466","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Organized Crime"
"2021-03-16T23:36:31Z","Event ID 7","SiteCode5","Exit Door ID 5493","4386","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","External Theft"
"2020-10-29T01:15:42Z","Event ID 4","SiteCode4","Exit Door ID 5983","4634","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Mixed"
"2021-09-25T12:25:57Z","Event ID 2","SiteCode13","Exit Door ID 5676","5548","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Omni Sale"
"2021-07-08T00:40:07Z","Event ID 8","SiteCode4","Exit Door ID 6349","3784","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Organized Crime"
"2021-06-23T03:13:52Z","Event ID 9","SiteCode14","Exit Door ID 1632","6262","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Organized Crime"
"2021-07-25T19:35:02Z","Event ID 4","SiteCode3","Exit Door ID 8712","8918","","Not a loss Event"
"2022-11-06T23:09:29Z","Event ID 7","SiteCode2","Exit Door ID 3899","9693","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Employee"
"2022-12-23T14:26:17Z","Event ID 2","SiteCode6","Exit Door ID 7053","7354","","Organized Crime"
"2021-03-06T03:43:19Z","Event ID 6","SiteCode10","Exit Door ID 4848","3231","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Omni Sale"
"2023-02-25T18:43:48Z","Event ID 6","SiteCode7","Exit Door ID 1138","8222","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2021-12-01T06:42:34Z","Event ID 6","SiteCode2","Exit Door ID 7631","651","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Mixed"
"2023-01-20T16:48:07Z","Event ID 1","SiteCode6","Exit Door ID 3177","3854","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Organized Crime"
"2022-12-13T17:41:12Z","Event ID 3","SiteCode15","Exit Door ID 8894","5647","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2020-12-19T03:06:26Z","Event ID 8","SiteCode15","Exit Door ID 8390","2308","","Not a loss Event"
"2020-08-13T11:42:57Z","Event ID 4","SiteCode6","Exit Door ID 3921","3127","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Employee"
"2021-03-30T10:47:15Z","Event ID 9","SiteCode3","Exit Door ID 5270","6094","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Others"
"2023-04-27T16:19:17Z","Event ID 4","SiteCode3","Exit Door ID 7376","7141","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Employee"
"2022-12-11T10:49:44Z","Event ID 7","SiteCode12","Exit Door ID 6192","2900","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Omni Sale"
"2023-04-26T07:59:15Z","Event ID 6","SiteCode13","Exit Door ID 8794","8585","","Not a loss Event"
"2020-11-03T09:38:00Z","Event ID 2","SiteCode15","Exit Door ID 6130","2466","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Organized Crime"
"2021-03-16T23:36:31Z","Event ID 7","SiteCode5","Exit Door ID 5493","4386","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","External Theft"
"2020-10-29T01:15:42Z","Event ID 4","SiteCode4","Exit Door ID 5983","4634","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Mixed"
"2021-09-25T12:25:57Z","Event ID 2","SiteCode13","Exit Door ID 5676","5548","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Omni Sale"
"2021-07-08T00:40:07Z","Event ID 8","SiteCode4","Exit Door ID 6349","3784","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Organized Crime"
"2021-06-23T03:13:52Z","Event ID 9","SiteCode14","Exit Door ID 1632","6262","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Organized Crime"
"2021-07-25T19:35:02Z","Event ID 4","SiteCode3","Exit Door ID 8712","8918","","Not a loss Event"
"2022-11-06T23:09:29Z","Event ID 7","SiteCode2","Exit Door ID 3899","9693","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Employee"
"2022-12-23T14:26:17Z","Event ID 2","SiteCode6","Exit Door ID 7053","7354","","Organized Crime"
"2021-03-06T03:43:19Z","Event ID 6","SiteCode10","Exit Door ID 4848","3231","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Omni Sale"
"2023-02-25T18:43:48Z","Event ID 6","SiteCode7","Exit Door ID 1138","8222","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2021-12-01T06:42:34Z","Event ID 6","SiteCode2","Exit Door ID 7631","651","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Mixed"
"2023-01-20T16:48:07Z","Event ID 1","SiteCode6","Exit Door ID 3177","3854","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Organized Crime"
"2022-12-13T17:41:12Z","Event ID 3","SiteCode15","Exit Door ID 8894","5647","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2020-12-19T03:06:26Z","Event ID 8","SiteCode15","Exit Door ID 8390","2308","","Not a loss Event"
"2020-08-13T11:42:57Z","Event ID 4","SiteCode6","Exit Door ID 3921","3127","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Employee"
"2021-03-30T10:47:15Z","Event ID 9","SiteCode3","Exit Door ID 5270","6094","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Others"
"2023-04-27T16:19:17Z","Event ID 4","SiteCode3","Exit Door ID 7376","7141","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Employee"
"2022-12-11T10:49:44Z","Event ID 7","SiteCode12","Exit Door ID 6192","2900","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Omni Sale"
"2023-04-26T07:59:15Z","Event ID 6","SiteCode13","Exit Door ID 8794","8585","","Not a loss Event"
"2020-11-03T09:38:00Z","Event ID 2","SiteCode15","Exit Door ID 6130","2466","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Organized Crime"
"2021-03-16T23:36:31Z","Event ID 7","SiteCode5","Exit Door ID 5493","4386","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","External Theft"
"2020-10-29T01:15:42Z","Event ID 4","SiteCode4","Exit Door ID 5983","4634","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Mixed"
"2021-09-25T12:25:57Z","Event ID 2","SiteCode13","Exit Door ID 5676","5548","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Omni Sale"
"2021-07-08T00:40:07Z","Event ID 8","SiteCode4","Exit Door ID 6349","3784","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Organized Crime"
"2021-06-23T03:13:52Z","Event ID 9","SiteCode14","Exit Door ID 1632","6262","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Organized Crime"
"2021-07-25T19:35:02Z","Event ID 4","SiteCode3","Exit Door ID 8712","8918","","Not a loss Event"
"2022-11-06T23:09:29Z","Event ID 7","SiteCode2","Exit Door ID 3899","9693","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Employee"
"2022-12-23T14:26:17Z","Event ID 2","SiteCode6","Exit Door ID 7053","7354","","Organized Crime"
"2021-03-06T03:43:19Z","Event ID 6","SiteCode10","Exit Door ID 4848","3231","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Omni Sale"
"2023-02-25T18:43:48Z","Event ID 6","SiteCode7","Exit Door ID 1138","8222","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2021-12-01T06:42:34Z","Event ID 6","SiteCode2","Exit Door ID 7631","651","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Mixed"
"2023-01-20T16:48:07Z","Event ID 1","SiteCode6","Exit Door ID 3177","3854","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Organized Crime"
"2022-12-13T17:41:12Z","Event ID 3","SiteCode15","Exit Door ID 8894","5647","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2020-12-19T03:06:26Z","Event ID 8","SiteCode15","Exit Door ID 8390","2308","","Not a loss Event"
"2020-08-13T11:42:57Z","Event ID 4","SiteCode6","Exit Door ID 3921","3127","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Employee"
"2021-03-30T10:47:15Z","Event ID 9","SiteCode3","Exit Door ID 5270","6094","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Others"
"2023-04-27T16:19:17Z","Event ID 4","SiteCode3","Exit Door ID 7376","7141","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Employee"
"2022-12-11T10:49:44Z","Event ID 7","SiteCode12","Exit Door ID 6192","2900","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Omni Sale"
"2023-04-26T07:59:15Z","Event ID 6","SiteCode13","Exit Door ID 8794","8585","","Not a loss Event"
"2020-11-03T09:38:00Z","Event ID 2","SiteCode15","Exit Door ID 6130","2466","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Organized Crime"
"2021-03-16T23:36:31Z","Event ID 7","SiteCode5","Exit Door ID 5493","4386","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","External Theft"
"2020-10-29T01:15:42Z","Event ID 4","SiteCode4","Exit Door ID 5983","4634","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Mixed"
"2021-09-25T12:25:57Z","Event ID 2","SiteCode13","Exit Door ID 5676","5548","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Omni Sale"
"2021-07-08T00:40:07Z","Event ID 8","SiteCode4","Exit Door ID 6349","3784","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Organized Crime"
"2021-06-23T03:13:52Z","Event ID 9","SiteCode14","Exit Door ID 1632","6262","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Organized Crime"
"2021-07-25T19:35:02Z","Event ID 4","SiteCode3","Exit Door ID 8712","8918","","Not a loss Event"
"2022-11-06T23:09:29Z","Event ID 7","SiteCode2","Exit Door ID 3899","9693","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Employee"
"2022-12-23T14:26:17Z","Event ID 2","SiteCode6","Exit Door ID 7053","7354","","Organized Crime"
"2021-03-06T03:43:19Z","Event ID 6","SiteCode10","Exit Door ID 4848","3231","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Omni Sale"
"2023-02-25T18:43:48Z","Event ID 6","SiteCode7","Exit Door ID 1138","8222","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2021-12-01T06:42:34Z","Event ID 6","SiteCode2","Exit Door ID 7631","651","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Mixed"
"2023-01-20T16:48:07Z","Event ID 1","SiteCode6","Exit Door ID 3177","3854","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Organized Crime"
"2022-12-13T17:41:12Z","Event ID 3","SiteCode15","Exit Door ID 8894","5647","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2020-12-19T03:06:26Z","Event ID 8","SiteCode15","Exit Door ID 8390","2308","","Not a loss Event"
"2020-08-13T11:42:57Z","Event ID 4","SiteCode6","Exit Door ID 3921","3127","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Employee"
"2021-03-30T10:47:15Z","Event ID 9","SiteCode3","Exit Door ID 5270","6094","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Others"
"2023-04-27T16:19:17Z","Event ID 4","SiteCode3","Exit Door ID 7376","7141","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Employee"
